"","ctrl_1","ctrl_2","ctrl_3","ctrl_4","BLZ_1","BLZ_2","BLZ_3","PD1_PDL1_1","PD1_PDL1_2","PD1_PDL1_3","PD1_PDL1_4","combo_1","combo_2","combo_3","combo_4"
"Zfp984",1.97076317016307,2.15186602073747,1.97455187063419,2.12209183956199,1.89280425522233,2.03654702733765,1.94784553652798,2.53781853514474,1.96367376236662,2.43846124882189,1.94569298460912,2.71493081927144,2.7501493490447,3.44958660914615,2.92886347019553
"Tigit",2.54682221102039,2.86097723154211,2.58953455490179,2.5791225302949,2.52932067049169,2.39486750176396,2.97546778448169,3.51564079305803,3.2765108839644,2.79345923352318,3.16238790086564,3.43298243403823,2.87822080261068,4.44058759408945,5.31705066377413
"Fcor",4.11053660981434,3.82534620006245,3.84591823893867,4.47239796685557,3.94984652655927,3.97898863200754,4.24186783346785,3.89212029287768,5.07030824021665,4.39849454450221,4.80028501076308,6.02998542216106,5.14148815813352,4.39849454450221,6.81517455486331
"Acacb",4.66981464659783,4.17231947725016,5.52342749282033,4.45431265950609,4.47339296642173,4.02807270652939,4.12045186278993,3.91785510337475,6.8204034217363,4.06098155104486,5.94438503863924,7.05212174395844,5.63439562848055,5.72985066505266,7.86050581716529
"Cyp4v3",4.41333426388947,4.88220801027926,5.70129605824296,5.63279669585331,5.33627556807963,5.12972795977425,4.80541031485397,5.70610911117813,6.73487037945748,5.34646776296235,5.89203038956988,6.10426218161957,5.74537945596477,6.53063302179373,7.72993921926298
"Plekho2",5.69251942699029,5.97309582702915,6.3654946404523,6.31764080510475,5.75352093948196,5.73366396545897,5.82285606938482,6.38986665582017,7.02333841792151,5.71572308370725,6.45353019751982,6.97001989282513,6.28484792538282,7.24139138075579,8.28647193526793
"Mapkapk3",3.86850800006337,3.67862978549951,4.36205700612194,4.21592447231715,4.20150121271294,3.89401665621746,3.85831792188756,4.37146164788051,4.89197681848981,3.77481454578008,4.77725124616261,4.87908587662928,4.37647930196621,5.39448969566545,6.23328333393755
"Acad11",4.98873319395514,4.94876363437467,5.71163064871129,5.31099860602967,5.68851940968891,5.32669742873926,5.36612592811812,5.26576125711539,7.00864162981501,6.04446001028997,6.21065600455106,7.20910874293321,6.24682706677355,6.21353933687269,8.3158498335703
"Gm16537",3.92918605182683,3.54342708815613,4.67608493157834,4.66755842503005,4.44905663694104,3.70985175293306,3.77803444030515,4.48510243242705,5.85831336589825,4.02129091359986,5.70750883472807,6.04610771555604,5.38958883564743,5.8473396788989,7.51919252423533
"Plin1",4.28616559899736,4.21608243144006,5.77771973675627,4.98165384539226,5.44457225527204,4.20316590125523,4.75110029601487,4.16085131081483,7.68853947094369,4.08778219623571,6.75209706797782,8.00413546381554,7.03987916393891,6.352173178303,9.24827686413086
"Ces1d",3.00197375392389,2.80592417254785,3.49061221554614,3.28563077305383,3.85386244630009,2.25090955851134,2.6341198603353,3.22263332615225,5.33711788491076,3.49061221554614,4.10544906306139,5.85279487165397,4.24813050412284,3.49061221554614,6.93484949893367
"Aldh6a1",5.79941481012383,5.50283502566391,6.73014079264383,6.08874792281896,6.56598971521436,5.70068303155359,6.50093755843898,5.80930273863639,8.32168854362658,6.49650516248167,7.14387675674303,8.5343304941727,7.64965754475433,7.16787383077054,10.3119714097507
"Nckap1l",6.16307661637867,6.43334334072998,7.14669631860245,6.59384185450634,6.5660675339706,6.51570715402932,6.25510421543447,6.79968712129232,7.96368843529241,6.44324211124447,6.97783571720487,7.63628233393868,6.78587257323395,8.09474816535059,9.2946099084836
"Lpxn",4.15395612027304,4.69540854372983,4.94861205289335,4.99129958176134,4.307234759811,4.46132997397762,4.58622097628349,5.30251784240129,5.75677180198393,4.94804271583432,4.79959191287026,5.25696064466712,4.97177162727106,6.38859358932354,7.52517228532319
"AW112010",4.62779057570758,4.30750984883704,6.18255046959579,4.65843742005584,5.82991747123663,4.90334735522531,5.25319975187315,7.22139760200664,8.76687528597896,4.5153114812353,7.47241853091213,8.2145054957822,6.69149746846492,8.32459301066205,9.60248313417708
"Ddb2",4.85218654312829,4.81862781515495,5.39935629173583,4.84408503031075,4.13151918981512,4.58777714348257,4.36024994405,4.70149533410919,4.85326094061925,5.12038936095619,4.74825391112628,4.99803794815208,4.81403552416425,6.12411881791657,6.34902120193808
"Fermt3",5.29654283349781,5.64189969841465,6.5381825408723,6.12233519205621,5.44019990557122,5.66400170632982,6.02305304763237,6.34025515921067,7.02326662422307,5.91800134115337,5.95179303467083,6.57564590002407,6.29303166176103,7.53111757167346,8.60419631573257
"Ms4a7",6.80711250038978,6.9732166900324,7.03649855265795,6.89164068912167,6.64251667719892,6.32339465849205,6.22697560272493,7.3374348782436,7.75094036717321,6.79878214956954,6.50866303189035,7.23267417289378,7.3062756628826,7.2545536890313,8.26342543947051
"Ly6a",7.89002127672158,6.99649795171406,9.57598745866455,7.71224998086869,9.17804302698561,7.24192927715321,8.07441065675437,9.25035107390563,10.7971998108802,6.91764377682121,10.1939488430391,10.6095933577561,9.83386391183915,11.1292722554186,11.4542822739676
"Adipoq",5.64431538087597,5.29569117495244,5.8656818341145,5.53733974504208,5.8656818341145,5.16716903342801,5.64499478323815,4.9481531881939,8.21069475447993,4.78848979021794,6.32259677846037,8.42335577086711,8.00865711231097,6.62418065480706,9.22153289321363
"Aspa",3.46258109291364,3.27764407037478,3.53470927736682,3.09670366317819,3.11765285295332,3.15894238994208,3.07542129652024,2.90904783951775,4.99447911123063,3.01414634200755,3.84612183694296,5.3957208440288,3.75686026387577,4.60038953720473,6.86523783393205
"Adrb3",3.83409505781631,3.65212265295885,4.77080936902059,3.98753145856772,3.73583406576889,3.51001558210815,3.60261110472895,3.52404486255888,5.1197817007376,3.7128943993717,4.36994167915392,5.50642581525403,5.31551782072168,4.14573235005513,5.86372367928415
"Aif1",5.64846492431231,5.734656006849,5.4321838221005,5.54867001166573,5.63160911836718,5.40442314821269,5.29735654368766,6.49307103588305,6.93634794418718,5.34207651294788,6.35754625932403,6.6985307293105,5.87130287397841,6.40345218240451,7.67045357408166
"Pnpla3",3.93813987140129,4.41325743928522,4.34963395289462,4.12697942575477,4.81145158006545,4.3850049448379,4.80055024569943,4.27432078996309,5.85697459177064,4.3882432767615,5.78219277988203,7.34331572021535,5.76861382983144,5.59940735374723,8.57412550209797
"Steap4",5.83941693444506,4.68500515099971,6.1199830469957,6.26941196600516,5.83427156780122,4.78193171073661,5.53767296986596,5.43441988395292,7.40447998939776,5.16241367276837,6.93769697058989,7.61431682637613,7.25055508290085,6.63488044294831,8.52396065691447
"Anxa4",6.47974676068286,6.20100738495735,6.94023331581965,6.77873429283834,6.698262217413,6.3404791431974,6.2378522065021,6.78779676258392,7.64172637420361,6.35105029879103,6.63778071475136,7.43784037014139,7.01243342959325,7.54953273723097,8.73608782000955
"Ap1g2",5.35079167193087,5.45298262417556,6.02633403987845,5.70710917544267,5.36689253576918,5.489606361006,5.39061335455953,5.65665929716884,5.88001420341344,5.46467224531386,5.65607084455032,6.06286483853741,5.97941913629586,6.54451317351371,7.49278626528866
"Aqp7",4.906750475628,4.54641367977062,5.22128055894001,4.72943753072389,4.45323980364135,4.33320822494547,3.94011408308493,3.90513283787949,7.01862021705402,3.87151423947976,5.38179393811399,6.93869987017689,5.15260611817644,5.83011532157056,7.98634453883751
"B2m",11.0789005003024,10.3872198018147,11.8501142032445,11.0464266027565,11.6127403893319,10.6356822226008,11.0035950120478,12.0264475281215,12.7015393673525,10.6424898282593,12.285123903001,12.6235193144839,11.8601098453621,12.7742996639334,12.7987622435493
"Bnip3",5.84999021810436,6.0898726724062,6.17401542582572,6.39226342084533,5.98983493793514,5.88616038455241,5.97014611505645,5.57716566875573,6.65540623596957,5.82500088012706,6.75756828705786,7.4451310503023,6.25344640958128,6.95735542770196,7.44668012504602
"Tspo",4.91117138546594,4.95493836287015,5.94356373038873,5.65118984954298,5.66411628355853,5.30144977122048,5.15676555784628,5.3565225435458,6.6477146819837,4.89859142158443,6.35303660011791,6.70496559091506,6.23035482563196,6.56164789243016,8.32810781264527
"Serping1",7.30505168754059,7.00643447446097,8.49688917315714,7.81632581916127,8.15357170431521,6.63567345774472,7.39551679835988,7.46770936144792,9.40346569266791,6.7988396963176,8.46667918128012,9.24534307013491,8.55160603444525,9.76254223844279,10.0939303323756
"C1qb",9.29310724645069,9.15253928923605,9.527340968148,9.59225959638693,9.21191068170185,9.31705639394958,8.97844589172147,9.69027678770589,10.4788338976799,9.38421264734382,9.59225959638693,10.0093113798702,9.95900851781627,10.1421094132251,10.9405653479187
"C3ar1",6.14350640150615,6.23853734770984,6.44326169419956,6.40344534519198,6.23500142482699,5.57438566246109,5.69761478340916,6.13723257266848,7.12983935933112,6.1793067904947,6.57279825216886,6.74364763513652,6.22763388601778,7.40551382906833,8.33053620163746
"Cacng2",5.677148327755,6.13733370466028,6.09525125986018,5.38875672637937,6.32127562518688,5.87393198120073,6.377148188859,6.44631703383067,5.80254426504026,7.08298307383424,5.74802520114002,4.73375218397055,5.25975601912116,5.28735878041367,3.77761321700169
