"","ctrl_1","ctrl_2","ctrl_3","ctrl_4","BLZ_1","BLZ_2","BLZ_3","PD1_PDL1_1","PD1_PDL1_2","PD1_PDL1_3","PD1_PDL1_4","combo_1","combo_2","combo_3","combo_4"
"17432514",2.67206892310021,2.97546163829425,2.81067054742768,3.62868393901378,2.9518983752344,3.72244794411026,3.58832289226618,2.88778593382598,3.29891344836133,2.64515056381272,3.22529115193761,2.91565821404197,3.01997051405684,3.18040846528318,3.32533335496195
"17431350",5.74041288818858,5.02183470864334,6.40098783276648,5.68743523684135,5.81314744823599,5.54435462780446,5.43494711934813,5.44611693114619,6.61264597159272,5.17090726180334,5.81314744823599,5.96297804216807,5.44162839649722,6.59010863952432,7.44434367429462
"17254289",6.85021849243453,7.01109270356925,7.56677147892302,7.23237871160765,7.24584684406182,7.42129732155905,7.17816104204403,7.4445551124102,7.81730647346745,7.42719136952557,7.43877214455059,7.55071795809215,7.89625571629752,8.09671733250582,8.45634857807939
"17291174",3.7375016501926,4.17880924566574,3.77925054993193,4.23618987469384,4.50272933887672,4.41097381215072,4.54373875616684,4.4954944194373,4.12821727595156,4.1279902110336,3.86851143026764,4.09658205919973,4.75157369860093,4.14465844688362,3.40853817809093
"17367237",3.66728821929734,3.45187951653768,3.34128270619765,3.84897391572917,3.85428340917535,3.89441862467713,3.50668292346056,3.93123089811419,3.89982764153678,4.30554013695673,3.08687907481727,3.69274531208038,3.93873355659659,4.34406545068383,3.14864655814646
"17342538",5.42715076623446,4.30553151025294,5.1716476292414,5.42410144990441,5.69108058670738,4.62375188263376,5.00526911108901,5.00526911108901,5.06145268711578,4.04253261851752,4.1061766640793,5.07197744651034,5.57778261888437,4.56228251879197,4.11905625643327
"17340631",3.77479541525344,4.70292433341643,3.81519248642082,3.74862706887191,4.2761525730062,3.02350362141111,3.71768526705765,4.22863806118083,4.00068236970369,4.24863238874072,3.6845949466679,4.71447457622113,3.94265264883998,4.14920283878605,3.882873291942
"17506270",2.26767739785265,2.81624614557386,2.31689337594055,3.26751866669338,2.89749021694014,2.27097537800053,2.40646436933539,2.50604576027217,2.66489325913267,3.56506915625244,3.2009420532937,2.65851243003741,2.79797828901926,2.66489325913267,2.49793552798369
"17335124",3.15093250851743,3.56944045575975,3.43830716109496,3.7911400928993,2.96402075185617,3.78306592425705,3.36064943057946,3.09974434803115,2.9686492915896,3.13967238458617,3.74940049510973,3.85260580530023,3.36064943057946,3.3392475224765,3.36064943057946
"17409280",4.11552907356174,4.15701412302708,4.24375760476841,4.04951924704252,3.62982771669427,4.14409889195878,4.01845170725301,4.01522622979628,3.85110524983196,4.52017237290986,4.35252326495628,3.80465323603886,4.00842099292345,3.54607357700515,3.59675124454456
"17408067",4.41237361104278,3.6177767593089,4.32850157614677,4.62703499480165,3.74902402320238,3.98977612293746,4.72285334423424,4.39876074798143,4.66802933382315,4.2615119595356,4.56058104359444,4.39831698476989,4.04003702414594,4.60646083477681,5.47793967718305
"17411948",4.93925448001869,5.56428620335416,4.56893323779435,5.39426103302121,5.29027879119981,4.92000642423513,5.16677357337485,5.21833774399341,4.83919011491725,3.91561127525671,4.91174363190527,4.66084904770216,4.74628871467121,5.01469889167226,4.01209924281852
"17288269",4.06246978342217,4.21351540490096,3.48121575035836,4.12886607446082,3.76360124875525,3.89982764153678,3.41683214558633,3.56749509437946,3.79777258996818,3.89982764153678,3.85314101286902,4.08052823613352,3.58415930131194,4.27852328135297,4.15741218741229
"17468281",2.75632126649198,2.35855964301067,2.03456577629562,2.37168376481853,2.60874091718777,2.35006371656958,1.89885224430123,2.08813698885709,2.60378886312799,2.46550993154495,2.20600309514978,2.58457304285827,2.14261494131389,2.37770667519195,2.06909666977591
"17526127",3.45251197184372,3.31226687365287,3.61833694849772,3.31729243173277,3.83416130276888,3.23450295247866,3.14226507785095,3.60852231337391,4.01012876883723,3.30205957767609,3.32157881484783,3.51044610202813,3.82921219139895,3.36808090368819,4.01676614777855
"17288316",3.24768416128904,3.49281465617039,3.39887344038775,3.94132460859887,3.09294923812408,4.07458924860935,3.36831402776617,3.48902703892506,3.07219867667561,4.27317796680802,2.77747861347809,3.59542420021471,3.47319324099878,3.3125905060903,3.38482455307572
"17217237",3.68951775610598,4.11387333435666,3.77653032028951,4.37657269695052,3.07672487561211,4.16432759995364,3.9433550968314,3.40434522758198,4.0200539130462,3.72500591339341,3.62150459782227,3.74982970888902,3.48662944289363,3.61851854395738,3.25401886386092
"17373996",4.08616299837065,2.95599832966345,3.17432730919594,3.81393912086455,3.16708360899819,3.01202650685159,3.78817424402286,3.60338116315002,3.50813380007514,3.65128220536288,3.3423116127044,3.6807971488503,3.47682499908866,3.80695876457273,3.97420876743006
"17383672",3.45194584405793,3.38282543488367,2.77283511521256,3.20709103864424,2.77704494765603,3.13526533506938,2.94235687649285,3.69853709109695,3.12690260331953,3.13526533506938,3.13526533506938,3.7745568953279,3.35847535730721,3.07669158515527,2.53590735861528
"17300181",2.29185718873016,1.86279883776269,5.44514713607396,2.86304415614978,3.10155484621311,2.51164226185305,3.42863583480777,3.45455652271171,5.27310983135884,3.16109802686168,2.61647120534036,3.12476925343029,3.65521435370095,5.52092487016984,6.22695039306396
"17330162",3.47620848094168,3.46774173960563,3.50955431321042,3.37937973727051,3.30023985610425,4.07708695507827,3.38280501968984,3.12733012367725,3.67887282490416,3.82191889723369,3.25036647720732,3.94409425738253,3.36174938136337,3.89074517540806,3.02191934005635
"17434023",4.22998509069841,4.75257356732035,4.75126101663093,4.68639755371413,5.30768466627227,4.51259273356766,4.7162707646851,5.04806258595497,5.72500049238782,4.49839224829184,4.78746307570287,5.18872185447565,4.90916987595275,5.25873219804916,5.64467681804011
"17425926",1.40475126612308,2.38505095413885,1.43508109454243,1.69192725108056,4.17971240073107,1.64306588486719,1.66044173811635,1.97093518086712,1.77207036010726,1.62215243894113,2.32165585171016,2.48567418298621,1.89319290738801,2.19411637533479,3.47790331930337
"17489962",2.52566824615448,3.10621583273007,2.29999271692453,2.59488240269281,2.10700717791083,2.09910272493102,2.27283629565817,2.36961897886613,2.52968055895696,1.95973936898153,2.34484054875601,2.73400814240433,2.66606544007407,2.45126062323674,2.68899679528477
