"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","17210904","Oprk1","18387","opioid receptor, kappa 1",0.32903013742885,2.28259110500813,0.995744302571019,0.33510371039229,0.676780968952001,-4.59592880488197
"2","17210953","St18","240690","suppression of tumorigenicity 18",-0.351620851886972,8.86728786225902,-0.368558879677252,0.717585569835917,0.877227873402595,-4.61719983114312
"3","17210984","Pcmtd1","319263","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1",-0.589147075967239,7.19972726128296,-1.23736183744323,0.234897294287791,0.621717695695271,-4.58361813989434
"4","17211004","Adhfe1","76187","alcohol dehydrogenase, iron containing, 1",-1.52273135452728,5.16110389527056,-1.46499659995046,0.163483724605718,0.590139120703694,-4.57050381552789
"5","17211043","Sgk3","170755","serum/glucocorticoid regulated kinase 3",0.709815068728435,5.23800251162483,0.744946886680884,0.467769733034177,0.742855509811892,-4.60649700788685
"6","17211131","Prex2","109294","phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2",-0.191400171152488,6.15199043072696,-0.398903254260144,0.695562992341509,0.866388930089468,-4.61659003859689
"7","17211174","A830018L16Rik","320492","RIKEN cDNA A830018L16 gene",-0.52562143518078,5.08529518130991,-0.901966769293138,0.3812724619444,0.701535367034219,-4.60016839305759
"8","17211198","Sulf1","240725","sulfatase 1",-1.08253755007904,5.67137346310394,-2.06310290533835,0.0567838269644148,0.590139120703694,-4.53173881363863
"9","17211286","Ly96","17087","lymphocyte antigen 96",-1.00501329692495,6.64186363863751,-1.71283418196387,0.10724656976263,0.590139120703694,-4.55499456924539
"10","17211305","Pi15","94227","peptidase inhibitor 15",1.01449902014795,4.26341704135854,1.66398256736457,0.116777234156288,0.590139120703694,-4.55813202358157
"11","17211382","Efhc1","71877","EF-hand domain (C-terminal) containing 1",0.185104695341556,4.61211268745774,0.432719496146665,0.671350728334382,0.855132065026984,-4.61585608547365
"12","17211405","Gsta3","14859","glutathione S-transferase, alpha 3",0.23287139139721,3.03801212364537,0.264151087622223,0.79524373204574,0.915415931953574,-4.61893954540339
"13","17211416","Khdc1a","368204","KH domain containing 1A",0.154303285419195,2.0187396522049,0.426075282673578,0.676079435621357,0.856924220025012,-4.61600479071531
"14","17211423","Khdc1c","433278","KH domain containing 1C",0.152591310602216,2.26867237234057,0.314835331372804,0.757206187762449,0.894386749501914,-4.61816489447777
"15","17211548","Khdrbs2","170771","KH domain containing, RNA binding, signal transduction associated 2",0.503655108623307,3.57404165206202,1.23415652823139,0.236055497531255,0.621717695695271,-4.58379322771872
"16","17211713","Ptpn18","19253","protein tyrosine phosphatase, non-receptor type 18",-0.825113292744819,4.66932614162961,-1.90802636222949,0.0756367297566502,0.590139120703694,-4.54216633403262
"17","17211748","Amer3","211383","APC membrane recruitment 3",1.43472267683971,6.39834460735539,3.11815573943445,0.00702243373128171,0.590139120703694,-4.46154151202628
"18","17211795","Arid5a","214855","AT rich interactive domain 5A (MRF1-like)",-0.70419122644927,4.45210707725331,-1.50389593113507,0.153286418716668,0.590139120703694,-4.56814331116286
