"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","17210904","Oprk1","18387","opioid receptor, kappa 1",-0.13119680378481,2.28259110500813,-0.584428595192227,0.567583627397357,0.949575710187276,-4.63090217623232
"2","17210953","St18","240690","suppression of tumorigenicity 18",0.926775543608496,8.86728786225902,1.42989080395408,0.173164244958712,0.90499404857012,-4.55021321700843
"3","17210984","Pcmtd1","319263","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1",-0.106918918836286,7.19972726128296,-0.330539678523545,0.745545526283863,0.977752248845361,-4.64324092505956
"4","17211004","Adhfe1","76187","alcohol dehydrogenase, iron containing, 1",-0.819311288968624,5.16110389527056,-1.16026800420862,0.264001530135757,0.907643149502198,-4.5813715405078
"5","17211043","Sgk3","170755","serum/glucocorticoid regulated kinase 3",-1.022585853791,5.23800251162483,-1.57970475772472,0.134942902513615,0.90499404857012,-4.53135490168826
"6","17211131","Prex2","109294","phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2",0.00484305866742218,6.15199043072696,0.0148573391951243,0.988341017432202,0.999607944753179,-4.64915693593908
"7","17211174","A830018L16Rik","320492","RIKEN cDNA A830018L16 gene",0.332018277513246,5.08529518130991,0.838639884035892,0.41478358737724,0.91767606795286,-4.61237561436572
"8","17211198","Sulf1","240725","sulfatase 1",0.084928852730747,5.67137346310394,0.238247981205659,0.814899730030215,0.984448277943181,-4.64607903260283
"9","17211286","Ly96","17087","lymphocyte antigen 96",-0.417382959935683,6.64186363863751,-1.04706653417578,0.311582174804351,0.911746853437962,-4.59314266322858
"10","17211305","Pi15","94227","peptidase inhibitor 15",-0.602890588559243,4.26341704135854,-1.4555653062342,0.166039295646072,0.90499404857012,-4.54704979791452
"11","17211382","Efhc1","71877","EF-hand domain (C-terminal) containing 1",-0.451207087137143,4.61211268745774,-1.55260503806848,0.14127431400373,0.90499404857012,-4.53483421843103
"12","17211405","Gsta3","14859","glutathione S-transferase, alpha 3",-0.275119977637422,3.03801212364537,-0.459361341657335,0.652534958338657,0.972395494715449,-4.63779222292425
"13","17211416","Khdc1a","368204","KH domain containing 1A",-0.0963713586465655,2.0187396522049,-0.391701469047331,0.700765074822415,0.977752248845361,-4.64086708578763
"14","17211423","Khdc1c","433278","KH domain containing 1C",-0.146745101219474,2.26867237234057,-0.445669920806172,0.662175120461876,0.975126467002935,-4.63845203814914
"15","17211548","Khdrbs2","170771","KH domain containing, RNA binding, signal transduction associated 2",-0.298149908554171,3.57404165206202,-1.0753943065234,0.299124061943458,0.911746853437962,-4.59027874461971
"16","17211713","Ptpn18","19253","protein tyrosine phosphatase, non-receptor type 18",0.0396941631644436,4.66932614162961,0.135111864951407,0.894312556726673,0.993249796208255,-4.64817282693134
"17","17211748","Amer3","211383","APC membrane recruitment 3",-0.467901426788015,6.39834460735539,-1.49685682002964,0.155091251423889,0.90499404857012,-4.54190039793896
"18","17211795","Arid5a","214855","AT rich interactive domain 5A (MRF1-like)",0.0316021491905154,4.45210707725331,0.0993435886939743,0.922175668465502,0.993899520019371,-4.64863016164635
"19","17211867","Zap70","22637","zeta-chain (TCR) associated protein kinase",-0.416446387522266,4.29355492163877,-0.925558961030389,0.369268468238889,0.916348942066735,-4.60476433338568
"20","17212087","Npas2","18143","neuronal PAS domain protein 2",-0.394267631919289,4.52937602021449,-0.763357776264742,0.457041365774195,0.927832499843678,-4.61846141147686
"21","17212185","Il1r1","16177","interleukin 1 receptor, type I",0.251171992886319,6.12213546260721,0.72234809122172,0.481146670203136,0.932551543775661,-4.62157000796791
"22","17212199","Il1rl2","107527","interleukin 1 receptor-like 2",0.388592259111529,4.07883927136848,1.16855045023336,0.260748662825074,0.907643149502198,-4.58047708358756
"23","17212229","Il18r1","16182","interleukin 18 receptor 1",0.000245496431202863,3.40253955127912,0.000488275133147136,0.999616821404333,0.99994945707879,-4.6491689821808
"24","17212252","Il18rap","16174","interleukin 18 receptor accessory protein",-0.113297245446351,3.12388935755466,-0.276371169111311,0.786019392328036,0.977752248845361,-4.64501614986975
"25","17212301","Tmem182","381339","transmembrane protein 182",0.315165893465853,5.19834657590668,0.437298356714032,0.66810025099302,0.97580899936137,-4.63884612900817
"26","17212313","Pou3f3","18993","POU domain, class 3, transcription factor 3",-2.34076791929926,5.75838329891928,-2.51616803638137,0.0236817307861075,0.900254843781149,-4.40188374575952
"27","17212316","2900092D14Rik","73100","RIKEN cDNA 2900092D14 gene",-1.95789132034647,4.76028752883981,-2.50673798387204,0.0241276678881647,0.900254843781149,-4.40320937870433
"28","17212334","Gpr45","93690","G protein-coupled receptor 45",-0.308960230124318,4.28754967882627,-1.18258027728576,0.255308399967018,0.90673806741841,-4.57895205405411
"29","17212461","Col3a1","12825","collagen, type III, alpha 1",0.44839856602449,8.28997809638578,1.14401594073839,0.270473852238175,0.908559338741785,-4.5831139129789
"30","17212548","Dnah7b","227058","dynein, axonemal, heavy chain 7B",0.0744886540744161,2.66814392186771,0.230362890931971,0.820909427979863,0.985072187903152,-4.64627950955149
"31","17212719","Cavin2","20324","caveolae associated 2",-0.232170361677481,6.47877079140688,-0.483995153659869,0.635351206625922,0.96597877963977,-4.63655753810755
