"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","17210904","Oprk1","18387","opioid receptor, kappa 1",0.19783333364404,2.28259110500813,0.815895009417874,0.427275729820082,0.642306419325826,-5.41051718098596
"2","17210953","St18","240690","suppression of tumorigenicity 18",0.575154691721524,8.86728786225902,0.82156055627427,0.424141636083979,0.64016342102806,-5.40629991893948
"3","17210984","Pcmtd1","319263","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1",-0.696065994803525,7.19972726128296,-1.99226022539859,0.064790524472796,0.242458922730594,-4.06193335083138
"4","17211004","Adhfe1","76187","alcohol dehydrogenase, iron containing, 1",-2.3420426434959,5.16110389527056,-3.07065327746973,0.00773908323275037,0.151764508538822,-2.32919654038325
"5","17211043","Sgk3","170755","serum/glucocorticoid regulated kinase 3",-0.31277078506256,5.23800251162483,-0.447330933295875,0.661002258102212,0.815204389492442,-5.62578170928953
"6","17211131","Prex2","109294","phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2",-0.186557112485066,6.15199043072696,-0.529858279331933,0.603933955678634,0.777608046436785,-5.58797829268765
"7","17211174","A830018L16Rik","320492","RIKEN cDNA A830018L16 gene",-0.193603157667535,5.08529518130991,-0.45274385260882,0.65718650126452,0.81270692670468,-5.62349160628195
"8","17211198","Sulf1","240725","sulfatase 1",-0.997608697348292,5.67137346310394,-2.59096057021163,0.0204135352429779,0.175318647420363,-3.12876609208982
"9","17211286","Ly96","17087","lymphocyte antigen 96",-1.42239625686063,6.64186363863751,-3.30359477414235,0.00480075211592706,0.148998232108269,-1.93432896450074
"10","17211305","Pi15","94227","peptidase inhibitor 15",0.411608431588703,4.26341704135854,0.920034385076045,0.372055992783093,0.59069800760981,-5.32883042760724
"11","17211382","Efhc1","71877","EF-hand domain (C-terminal) containing 1",-0.266102391795587,4.61211268745774,-0.847735678978078,0.409855139547708,0.625052546829944,-5.38647410272424
"12","17211405","Gsta3","14859","glutathione S-transferase, alpha 3",-0.0422485862402127,3.03801212364537,-0.0653087094794746,0.948787183932457,0.971639762158367,-5.71851199537487
"13","17211416","Khdc1a","368204","KH domain containing 1A",0.0579319267726293,2.0187396522049,0.217997642412878,0.830356960974424,0.909779812916465,-5.69791516832865
"14","17211423","Khdc1c","433278","KH domain containing 1C",0.00584620938274183,2.26867237234057,0.0164380645787645,0.987100690044183,0.992397893143532,-5.72041748756883
"15","17211548","Khdrbs2","170771","KH domain containing, RNA binding, signal transduction associated 2",0.205505200069136,3.57404165206202,0.686250182931914,0.502983754237982,0.699218396995523,-5.49968873636767
"16","17211713","Ptpn18","19253","protein tyrosine phosphatase, non-receptor type 18",-0.785419129580375,4.66932614162961,-2.47511235437834,0.0256823885138449,0.184651481083247,-3.316652549842
"17","17211748","Amer3","211383","APC membrane recruitment 3",0.96682125005169,6.39834460735539,2.86350986377746,0.0118003122551033,0.159506488527857,-2.67772835366829
"18","17211795","Arid5a","214855","AT rich interactive domain 5A (MRF1-like)",-0.672589077258754,4.45210707725331,-1.95749039960526,0.0690844470509654,0.248298117548284,-4.11258988809552
"19","17211867","Zap70","22637","zeta-chain (TCR) associated protein kinase",-0.781038519800811,4.29355492163877,-1.60710424853294,0.128788630873235,0.334237161075777,-4.5932501361315
"20","17212087","Npas2","18143","neuronal PAS domain protein 2",-0.872570501552177,4.52937602021449,-1.56409865242615,0.138558903740342,0.344407137466415,-4.64803855514071
"21","17212185","Il1r1","16177","interleukin 1 receptor, type I",-0.689336255038886,6.12213546260721,-1.83540978918351,0.0862682799189274,0.272863939232082,-4.28649936996219
"22","17212199","Il1rl2","107527","interleukin 1 receptor-like 2",-0.586767047045629,4.07883927136848,-1.63359969251423,0.123067449266204,0.324953396889737,-4.55899858480083
"23","17212229","Il18r1","16182","interleukin 18 receptor 1",-1.46540449480004,3.40253955127912,-2.69838272889268,0.0164669624069674,0.164571060971255,-2.95231291697432
"24","17212252","Il18rap","16174","interleukin 18 receptor accessory protein",-1.07805169378792,3.12388935755466,-2.43466703771109,0.0278098874719875,0.186696836948001,-3.38157481181099
"25","17212301","Tmem182","381339","transmembrane protein 182",-2.25259363542296,5.19834657590668,-2.89366392644778,0.0111000300831449,0.158817852860272,-2.62723006263142
"26","17212313","Pou3f3","18993","POU domain, class 3, transcription factor 3",1.36812690245968,5.75838329891928,1.3615521251505,0.193360446835566,0.407921178853963,-4.89177638499297
"27","17212316","2900092D14Rik","73100","RIKEN cDNA 2900092D14 gene",1.35480043025298,4.76028752883981,1.60591402810224,0.129050896871025,0.334256055616531,-4.59477997453716
"28","17212334","Gpr45","93690","G protein-coupled receptor 45",0.538049835821735,4.28754967882627,1.90667714231479,0.0758230404134956,0.25881051876561,-4.18574257009738
"29","17212461","Col3a1","12825","collagen, type III, alpha 1",-0.542815959103923,8.28997809638578,-1.28217431824053,0.219165988965423,0.435498874328045,-4.98038880362745
"30","17212548","Dnah7b","227058","dynein, axonemal, heavy chain 7B",-0.260499270769693,2.66814392186771,-0.745856896928615,0.467235861829909,0.674775153340322,-5.46045021756671
"31","17212719","Cavin2","20324","caveolae associated 2",-0.824947839890465,6.47877079140688,-1.59216227676638,0.132114378071508,0.337175690310213,-4.61240022683958
"32","17212724","Stat4","20849","signal transducer and activator of transcription 4",-2.22829916445491,4.33476264940384,-2.45090225522555,0.0269365148533432,0.185320728392184,-3.3555590158658
"33","17212750","Stat1","20846","signal transducer and activator of transcription 1",-2.57220192573743,8.01567032233594,-3.78535072416792,0.00178453774432477,0.148998232108269,-1.11855978301537
"34","17212792","Hibch","227095","3-hydroxyisobutyryl-Coenzyme A hydrolase",-0.524604017168533,6.23599644244881,-1.62366794813658,0.125185915503864,0.328873603613349,-4.57188142336972
"35","17212813","Mstn","17700","myostatin",-0.244411837989541,2.41596797185367,-0.785460187210255,0.444364977007382,0.655842771389744,-5.43271791002847
"36","17212874","Coq10b","67876","coenzyme Q10B",-0.142339217669536,6.28671766947613,-0.710696649307225,0.488132377563196,0.690666415740231,-5.48396234946395
"37","17212982","Aox1","11761","aldehyde oxidase 1",-1.13187597287529,4.49005821753374,-2.52350955349267,0.0233400159638366,0.179852823861253,-3.23849299338985
"38","17213189","Gm20257","100504501","caspase 8 pseudogene",-0.689834393551673,2.46629837269169,-1.73578750265853,0.103007620479691,0.299191223244064,-4.42349722128861
"39","17213192","Cflar","12633","CASP8 and FADD-like apoptosis regulator",-0.879261662018449,5.93010868725734,-2.2187849916189,0.0422800009462771,0.206498958055162,-3.72110456908287
"40","17213213","Casp8","12370","caspase 8",-1.21476167725023,7.32140623718222,-2.74502044812883,0.0149928775263995,0.163627716291161,-2.87513149514367
"41","17213265","Fzd7","14369","frizzled class receptor 7",-0.757113959078033,4.60346664182134,-2.1466348275725,0.048512640471116,0.216393809244301,-3.83156594944245
"42","17213336","Bmpr2","12168","bone morphogenetic protein receptor, type II (serine/threonine kinase)",0.301823687980071,7.69266708596858,1.49149007703921,0.1564792003268,0.368582818896046,-4.73819780529275
"43","17213369","Nbeal1","269198","neurobeachin like 1",-0.520786767656366,5.91825906064267,-2.10190157764049,0.0527928766278044,0.220860638788337,-3.89919285151311
"44","17213462","Cd28","12487","CD28 antigen",-1.766318327864,3.95133431083355,-2.94849207896413,0.00992930540377841,0.155827711768721,-2.5351795958504
"45","17213473","2310016D23Rik","76443","RIKEN cDNA 2310016D23 gene",-0.182762656730126,2.60339458394737,-0.635437435538227,0.534679159266785,0.721913219679947,-5.53072757383233
"46","17213515","Pard3b","72823","par-3 family cell polarity regulator beta",0.03572320410139,5.82445268296942,0.145012273181199,0.886623940656607,0.941096055990856,-5.71052252074149
"47","17213593","Snora41","100217464","small nucleolar RNA, H/ACA box 41",0.77871583681996,6.78631630424526,3.18080516849809,0.00617660284582363,0.148998232108269,-2.14270060176857
"48","17213608","Adam23","23792","a disintegrin and metallopeptidase domain 23",-0.268563435885016,5.94120719789724,-0.876568994271053,0.394487119068207,0.611967328744972,-5.3639891900035
"49","17214106","Igfbp2","16008","insulin-like growth factor binding protein 2",0.26665177195611,5.8751817485789,0.904045190632461,0.380204435676556,0.599300216971172,-5.34193927418397
"50","17214162","Gpbar1","227289","G protein-coupled bile acid receptor 1",0.115868094917632,3.87762111005441,0.338686647427484,0.739521315613519,0.861027439717041,-5.66605417604425
"51","17214197","Slc11a1","18173","solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1",-1.50973722885883,7.64970209495303,-3.53929353676308,0.0029573833862387,0.148998232108269,-1.5342549264025
"52","17214368","Cyp27a1","104086","cytochrome P450, family 27, subfamily a, polypeptide 1",-0.895331988044791,4.99426509637858,-1.85346617746798,0.0835070505831333,0.268577284341799,-4.26118132336757
"53","17214400","Cdk5r2","12570","cyclin-dependent kinase 5, regulatory subunit 2 (p39)",0.586661993145889,6.48842632791029,1.53354614537007,0.14587627216705,0.353630510166384,-4.68634090339629
